,NAME,ARTIST,ALBUM,RELEASE_DATE,DURATION_MS,EXPLICIT,POPULARITY,DANCEABILITY,ENERGY,KEY,LOUDNESS,MODE,SPEECHINESS,ACOUSTICNESS,INSTRUMENTALNESS,LIVENESS,VALENCE,TEMPO,TYPE,ID,URI,TRACK_HREF,ANALYSIS_URL,TIME_SIGNATURE
104,vampire,Olivia Rodrigo,GUTS,2023-09-08,219724,True,85,0.484,0.53,5,-5.821,1,0.0538,0.154,0.0,0.263,0.323,136.848,audio_features,1kuGVB7EU95pJObxwvfwKS,spotify:track:1kuGVB7EU95pJObxwvfwKS,https://api.spotify.com/v1/tracks/1kuGVB7EU95pJObxwvfwKS,https://api.spotify.com/v1/audio-analysis/1kuGVB7EU95pJObxwvfwKS,4
105,No Scrubs,TLC,Fanmail,1999-02-23,214400,False,83,0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,audio_features,1KGi9sZVMeszgZOWivFpxs,spotify:track:1KGi9sZVMeszgZOWivFpxs,https://api.spotify.com/v1/tracks/1KGi9sZVMeszgZOWivFpxs,https://api.spotify.com/v1/audio-analysis/1KGi9sZVMeszgZOWivFpxs,4
106,Daddy Issues,The Neighbourhood,Wiped Out!,2015-10-30,260173,False,85,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,audio_features,5E30LdtzQTGqRvNd7l6kG5,spotify:track:5E30LdtzQTGqRvNd7l6kG5,https://api.spotify.com/v1/tracks/5E30LdtzQTGqRvNd7l6kG5,https://api.spotify.com/v1/audio-analysis/5E30LdtzQTGqRvNd7l6kG5,4
107,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Hollywood's Bleeding,2019-09-06,157560,False,84,0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,audio_features,0RiRZpuVRbi7oqRdSMwhQY,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,https://api.spotify.com/v1/tracks/0RiRZpuVRbi7oqRdSMwhQY,https://api.spotify.com/v1/audio-analysis/0RiRZpuVRbi7oqRdSMwhQY,4
108,Drops of Jupiter (Tell Me),Train,Drops Of Jupiter,2001-03-27,259933,False,82,0.481,0.638,0,-5.862,1,0.0276,0.153,0.0,0.154,0.497,79.064,audio_features,2hKdd3qO7cWr2Jo0Bcs0MA,spotify:track:2hKdd3qO7cWr2Jo0Bcs0MA,https://api.spotify.com/v1/tracks/2hKdd3qO7cWr2Jo0Bcs0MA,https://api.spotify.com/v1/audio-analysis/2hKdd3qO7cWr2Jo0Bcs0MA,4
109,Rockstar,LISA,Rockstar,2024-06-27,138213,True,93,0.668,0.628,8,-4.692,1,0.046,0.129,0.0,0.0293,0.568,140.053,audio_features,6vvPecFTmWxDfEJ6cYT1wa,spotify:track:6vvPecFTmWxDfEJ6cYT1wa,https://api.spotify.com/v1/tracks/6vvPecFTmWxDfEJ6cYT1wa,https://api.spotify.com/v1/audio-analysis/6vvPecFTmWxDfEJ6cYT1wa,4
110,Love Me,Lil Wayne,I Am Not A Human Being II (Deluxe),2013-01-01,255053,True,81,0.67,0.634,11,-6.471,1,0.0326,0.0124,0.0,0.0946,0.497,124.926,audio_features,2XHzzp1j4IfTNp1FTn7YFg,spotify:track:2XHzzp1j4IfTNp1FTn7YFg,https://api.spotify.com/v1/tracks/2XHzzp1j4IfTNp1FTn7YFg,https://api.spotify.com/v1/audio-analysis/2XHzzp1j4IfTNp1FTn7YFg,4
111,Starboy,The Weeknd,Starboy,2016-11-25,230453,True,88,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,audio_features,7MXVkk9YMctZqd1Srtv4MB,spotify:track:7MXVkk9YMctZqd1Srtv4MB,https://api.spotify.com/v1/tracks/7MXVkk9YMctZqd1Srtv4MB,https://api.spotify.com/v1/audio-analysis/7MXVkk9YMctZqd1Srtv4MB,4
112,Hips Don't Lie (feat. Wyclef Jean),Shakira,"Oral Fixation, Vol. 2 (Expanded Edition)",2005-11-28,218093,False,87,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,audio_features,3ZFTkvIE7kyPt6Nu3PEa7V,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/tracks/3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/audio-analysis/3ZFTkvIE7kyPt6Nu3PEa7V,4
113,Like Crazy,Jimin,FACE,2023-03-24,212241,False,87,0.629,0.733,7,-5.445,1,0.0419,0.0025,0.0,0.357,0.362,120.001,audio_features,3Ua0m0YmEjrMi9XErKcNiR,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,https://api.spotify.com/v1/tracks/3Ua0m0YmEjrMi9XErKcNiR,https://api.spotify.com/v1/audio-analysis/3Ua0m0YmEjrMi9XErKcNiR,4
114,Unforgettable,French Montana,Jungle Rules,2017-07-14,233901,True,87,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,audio_features,3B54sVLJ402zGa6Xm4YGNe,spotify:track:3B54sVLJ402zGa6Xm4YGNe,https://api.spotify.com/v1/tracks/3B54sVLJ402zGa6Xm4YGNe,https://api.spotify.com/v1/audio-analysis/3B54sVLJ402zGa6Xm4YGNe,4
115,Otaku Hot Girl,Megan Thee Stallion,MEGAN,2024-06-28,158663,True,79,0.757,0.756,0,-3.198,1,0.0664,0.0655,0.0,0.149,0.505,157.989,audio_features,6saYisCUAZXc505blie9kZ,spotify:track:6saYisCUAZXc505blie9kZ,https://api.spotify.com/v1/tracks/6saYisCUAZXc505blie9kZ,https://api.spotify.com/v1/audio-analysis/6saYisCUAZXc505blie9kZ,4
116,365,Charli xcx,BRAT,2024-06-07,203618,True,81,0.761,0.856,1,-5.121,1,0.109,0.154,0.503,0.16,0.729,127.111,audio_features,5h68SoVFGleijCtjEja3xG,spotify:track:5h68SoVFGleijCtjEja3xG,https://api.spotify.com/v1/tracks/5h68SoVFGleijCtjEja3xG,https://api.spotify.com/v1/audio-analysis/5h68SoVFGleijCtjEja3xG,4
117,Devil You Know,Tyler Braden,Devil You Know,2024-02-02,192693,False,79,0.52,0.8,1,-4.256,1,0.041,0.00801,0.0,0.303,0.538,93.155,audio_features,6tWGe6nvXFWT0KhGCXM89q,spotify:track:6tWGe6nvXFWT0KhGCXM89q,https://api.spotify.com/v1/tracks/6tWGe6nvXFWT0KhGCXM89q,https://api.spotify.com/v1/audio-analysis/6tWGe6nvXFWT0KhGCXM89q,4
118,Lover,Taylor Swift,Lover,2019-08-23,221306,False,86,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,audio_features,1dGr1c8CrMLDpV6mPbImSI,spotify:track:1dGr1c8CrMLDpV6mPbImSI,https://api.spotify.com/v1/tracks/1dGr1c8CrMLDpV6mPbImSI,https://api.spotify.com/v1/audio-analysis/1dGr1c8CrMLDpV6mPbImSI,4
119,Give Me Everything (feat. Nayer),Pitbull,Planet Pit (Deluxe Version),2011-06-17,252306,False,86,0.671,0.939,8,-3.206,1,0.161,0.191,0.0,0.298,0.53,129.024,audio_features,4QNpBfC0zvjKqPJcyqBy9W,spotify:track:4QNpBfC0zvjKqPJcyqBy9W,https://api.spotify.com/v1/tracks/4QNpBfC0zvjKqPJcyqBy9W,https://api.spotify.com/v1/audio-analysis/4QNpBfC0zvjKqPJcyqBy9W,4
120,I Can Do It With a Broken Heart,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,218004,True,82,0.701,0.751,0,-8.39,1,0.0502,0.123,0.0,0.15,0.22,129.994,audio_features,2fPvQfGQEZOKtJ9qXeL4x8,spotify:track:2fPvQfGQEZOKtJ9qXeL4x8,https://api.spotify.com/v1/tracks/2fPvQfGQEZOKtJ9qXeL4x8,https://api.spotify.com/v1/audio-analysis/2fPvQfGQEZOKtJ9qXeL4x8,4
121,Straight and Narrow,Sam Barber,Million Eyes,2023-09-21,199874,False,79,0.427,0.278,10,-8.83,1,0.0331,0.47,2.22e-05,0.135,0.374,85.633,audio_features,3fonAuTvuI5KMcmnueLAPq,spotify:track:3fonAuTvuI5KMcmnueLAPq,https://api.spotify.com/v1/tracks/3fonAuTvuI5KMcmnueLAPq,https://api.spotify.com/v1/audio-analysis/3fonAuTvuI5KMcmnueLAPq,3
122,Something Just Like This,The Chainsmokers,Memories...Do Not Open,2017-04-07,247160,False,88,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,audio_features,6RUKPb4LETWmmr3iAEQktW,spotify:track:6RUKPb4LETWmmr3iAEQktW,https://api.spotify.com/v1/tracks/6RUKPb4LETWmmr3iAEQktW,https://api.spotify.com/v1/audio-analysis/6RUKPb4LETWmmr3iAEQktW,4
123,Space Song,Beach House,Depression Cherry,2015-08-28,320466,False,77,0.508,0.792,0,-7.311,0,0.0297,0.229,0.124,0.145,0.601,147.067,audio_features,7H0ya83CMmgFcOhw0UB6ow,spotify:track:7H0ya83CMmgFcOhw0UB6ow,https://api.spotify.com/v1/tracks/7H0ya83CMmgFcOhw0UB6ow,https://api.spotify.com/v1/audio-analysis/7H0ya83CMmgFcOhw0UB6ow,4
124,Surround Sound (feat. 21 Savage & Baby Tate),JID,The Forever Story (Extended Version),2022-10-31,229938,True,81,0.574,0.567,7,-7.126,0,0.465,0.164,0.0,0.258,0.526,75.965,audio_features,1udwFobQ1JoOdWPQrp2b6u,spotify:track:1udwFobQ1JoOdWPQrp2b6u,https://api.spotify.com/v1/tracks/1udwFobQ1JoOdWPQrp2b6u,https://api.spotify.com/v1/audio-analysis/1udwFobQ1JoOdWPQrp2b6u,4
125,I Ain't Worried,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",2022-05-13,148485,False,86,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,audio_features,4h9wh7iOZ0GGn8QVp4RAOB,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,https://api.spotify.com/v1/tracks/4h9wh7iOZ0GGn8QVp4RAOB,https://api.spotify.com/v1/audio-analysis/4h9wh7iOZ0GGn8QVp4RAOB,4
126,The Hills,The Weeknd,Beauty Behind The Madness,2015-08-28,242253,True,84,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,audio_features,7fBv7CLKzipRk6EC6TWHOB,spotify:track:7fBv7CLKzipRk6EC6TWHOB,https://api.spotify.com/v1/tracks/7fBv7CLKzipRk6EC6TWHOB,https://api.spotify.com/v1/audio-analysis/7fBv7CLKzipRk6EC6TWHOB,4
127,JOYRIDE,Kesha,JOYRIDE,2024-07-04,150000,True,80,0.788,0.898,10,-4.653,0,0.0592,0.0182,0.000123,0.114,0.496,115.96,audio_features,7HUhMOrlvwBPfBq3c0ajh0,spotify:track:7HUhMOrlvwBPfBq3c0ajh0,https://api.spotify.com/v1/tracks/7HUhMOrlvwBPfBq3c0ajh0,https://api.spotify.com/v1/audio-analysis/7HUhMOrlvwBPfBq3c0ajh0,4
128,Classic,MKTO,MKTO,2012,175426,False,82,0.72,0.791,1,-4.689,1,0.124,0.0384,0.0,0.157,0.756,102.071,audio_features,6FE2iI43OZnszFLuLtvvmg,spotify:track:6FE2iI43OZnszFLuLtvvmg,https://api.spotify.com/v1/tracks/6FE2iI43OZnszFLuLtvvmg,https://api.spotify.com/v1/audio-analysis/6FE2iI43OZnszFLuLtvvmg,4
129,Summer,Calvin Harris,Motion,2014-10-31,222533,False,86,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,audio_features,6YUTL4dYpB9xZO5qExPf05,spotify:track:6YUTL4dYpB9xZO5qExPf05,https://api.spotify.com/v1/tracks/6YUTL4dYpB9xZO5qExPf05,https://api.spotify.com/v1/audio-analysis/6YUTL4dYpB9xZO5qExPf05,4
130,Brandy (You're a Fine Girl),Looking Glass,Looking Glass,1972,186826,False,77,0.716,0.625,1,-11.369,0,0.0601,0.396,1.97e-05,0.134,0.826,125.276,audio_features,2BY7ALEWdloFHgQZG6VMLA,spotify:track:2BY7ALEWdloFHgQZG6VMLA,https://api.spotify.com/v1/tracks/2BY7ALEWdloFHgQZG6VMLA,https://api.spotify.com/v1/audio-analysis/2BY7ALEWdloFHgQZG6VMLA,4
131,Von dutch,Charli xcx,BRAT,2024-06-07,164284,True,81,0.706,0.698,10,-5.679,1,0.0537,0.00298,0.00375,0.116,0.648,130.013,audio_features,3Y1EvIgEVw51XtgNEgpz5c,spotify:track:3Y1EvIgEVw51XtgNEgpz5c,https://api.spotify.com/v1/tracks/3Y1EvIgEVw51XtgNEgpz5c,https://api.spotify.com/v1/audio-analysis/3Y1EvIgEVw51XtgNEgpz5c,4
